Airline,Market,All_Detected_Brands,Identified_Basic_Economy_Brand,Confidence_Level,BE_Score
AS,SMF-SEA,BASIC ECONOMY,BASIC ECONOMY,High,75
AS,SNA-SEA,BASIC ECONOMY,BASIC ECONOMY,High,75
B6,ISP-MCO,"BLUE, BLUE BASIC, BLUE EXTRA, BLUE EXTRA REFUNDABLE, BLUE REFUNDABLE",BLUE BASIC,High,75
B6,ISP-PBI,"BLUE, BLUE BASIC, BLUE EXTRA, BLUE EXTRA REFUNDABLE, BLUE REFUNDABLE",BLUE BASIC,High,75
B6,JAX-BOS,"BLUE, BLUE BASIC, BLUE EXTRA, BLUE EXTRA REFUNDABLE, BLUE REFUNDABLE",BLUE BASIC,High,75
B6,JAX-JFK,"BLUE, BLUE BASIC, BLUE EXTRA, BLUE EXTRA REFUNDABLE, BLUE REFUNDABLE",BLUE BASIC,High,75
B6,JFK-ABQ,"BLUE, BLUE BASIC, BLUE EXTRA, BLUE EXTRA REFUNDABLE, BLUE REFUNDABLE",BLUE BASIC,High,75
B6,JFK-ACK,"BLUE, BLUE EXTRA, BLUE EXTRA REFUNDABLE, BLUE REFUNDABLE",BLUE,Medium,60
B6,JFK-ATL,"BLUE, BLUE BASIC, BLUE EXTRA, BLUE EXTRA REFUNDABLE, BLUE REFUNDABLE",BLUE BASIC,High,75
B6,JFK-BDL,"BLUE, BLUE BASIC, BLUE EXTRA, BLUE EXTRA REFUNDABLE, BLUE REFUNDABLE",BLUE BASIC,High,75
B6,JFK-BNA,"BLUE, BLUE BASIC, BLUE EXTRA, BLUE EXTRA REFUNDABLE, BLUE REFUNDABLE",BLUE BASIC,High,75
B6,JFK-BOS,"BLUE, BLUE BASIC, BLUE EXTRA, BLUE EXTRA REFUNDABLE, BLUE REFUNDABLE",BLUE BASIC,High,75
B6,JFK-BUF,"BLUE, BLUE BASIC, BLUE EXTRA, BLUE EXTRA REFUNDABLE, BLUE REFUNDABLE",BLUE BASIC,High,75
B6,JFK-BUR,"BLUE, BLUE BASIC, BLUE EXTRA, BLUE EXTRA REFUNDABLE, BLUE REFUNDABLE",BLUE BASIC,High,75
B6,JFK-BZN,"BLUE, BLUE BASIC, BLUE EXTRA, BLUE EXTRA REFUNDABLE, BLUE REFUNDABLE",BLUE BASIC,High,75
B6,JFK-CHS,"BLUE, BLUE BASIC, BLUE EXTRA, BLUE EXTRA REFUNDABLE, BLUE REFUNDABLE",BLUE BASIC,High,75
B6,JFK-DCA,"BLUE, BLUE BASIC, BLUE EXTRA, BLUE EXTRA REFUNDABLE, BLUE REFUNDABLE",BLUE BASIC,High,75
B6,JFK-DEN,"BLUE, BLUE BASIC, BLUE EXTRA, BLUE EXTRA REFUNDABLE, BLUE REFUNDABLE",BLUE BASIC,High,75
B6,JFK-DTW,"BLUE, BLUE BASIC, BLUE EXTRA, BLUE EXTRA REFUNDABLE, BLUE REFUNDABLE",BLUE BASIC,High,75
B6,JFK-HYA,"BLUE, BLUE EXTRA, BLUE EXTRA REFUNDABLE, BLUE REFUNDABLE",BLUE,Medium,60
B6,JFK-JAX,"BLUE, BLUE BASIC, BLUE EXTRA, BLUE EXTRA REFUNDABLE, BLUE REFUNDABLE",BLUE BASIC,High,75
B6,JFK-LAS,"BLUE, BLUE BASIC, BLUE EXTRA, BLUE EXTRA REFUNDABLE, BLUE REFUNDABLE, MINT, MINT REFUNDABLE",BLUE BASIC,High,75
B6,JFK-LAX,"BLUE, BLUE BASIC, BLUE EXTRA, BLUE EXTRA REFUNDABLE, BLUE REFUNDABLE, MINT, MINT REFUNDABLE",BLUE BASIC,High,75
B6,JFK-MCO,"BLUE, BLUE BASIC, BLUE EXTRA, BLUE EXTRA REFUNDABLE, BLUE REFUNDABLE",BLUE BASIC,High,75
B6,JFK-MSY,"BLUE, BLUE BASIC, BLUE EXTRA, BLUE EXTRA REFUNDABLE, BLUE REFUNDABLE",BLUE BASIC,High,75
B6,JFK-MVY,"BLUE, BLUE EXTRA, BLUE EXTRA REFUNDABLE, BLUE REFUNDABLE",BLUE,Medium,60
B6,JFK-ONT,"BLUE, BLUE BASIC, BLUE EXTRA, BLUE EXTRA REFUNDABLE, BLUE REFUNDABLE",BLUE BASIC,High,75
B6,JFK-ORD,"BLUE, BLUE BASIC, BLUE EXTRA, BLUE EXTRA REFUNDABLE, BLUE REFUNDABLE",BLUE BASIC,High,75
B6,JFK-PBI,"BLUE, BLUE BASIC, BLUE EXTRA, BLUE EXTRA REFUNDABLE, BLUE REFUNDABLE",BLUE BASIC,High,75
B6,JFK-PHX,"BLUE, BLUE BASIC, BLUE EXTRA, BLUE EXTRA REFUNDABLE, BLUE REFUNDABLE",BLUE BASIC,High,75
